business_name,category,city,address,phone,source,created_at
New Rao Tax Consultants,CA/Accountant,Vadodara,"Plot 464, Station Road Marg, Vadodara - 754361",+91-9381217075,Google Maps,2026-04-28T22:01:12.926429
Joshi Medical Center,Doctor,Lucknow,"Plot 991, Indira Nagar Nagar, Lucknow - 966346",+91-9825716651,Justdial,2026-02-11T21:01:12.926518
Reddy Academy,Tutor,Coimbatore,"Plot 404, Main Area Nagar, Coimbatore - 285288",+91-9818087873,IndiaMART,2026-02-28T08:01:12.926540
Sri Nair Properties,Real Estate Agent,Noida,"Plot 533, Main Area Colony, Noida - 760488",+91-9837440562,Google Maps,2026-04-17T13:01:12.926556
Sunita's Auto Works,Car Repair,Nagpur,"Plot 10, Main Area Marg, Nagpur - 100138",+91-9849884314,Google Maps,2026-03-31T06:01:12.926573
Rekha Desai Clicks,Photographer,Ahmedabad,"Plot 411, Navrangpura Marg, Ahmedabad - 836674",+91-9013089903,TradeIndia,2026-02-14T23:01:12.926589
New Nair Hair Studio,Salon,Surat,"Plot 216, Main Area Street, Surat - 959777",+91-9094098611,TradeIndia,2026-04-20T03:01:12.926604
Sunita's Logistics,Courier Service,Chennai,"Plot 279, Adyar Lane, Chennai - 106952",+91-9118053055,Justdial,2026-04-21T21:01:12.926618
Neha Joshi Plumbing Services,Plumber,Kochi,"Plot 661, Central Enclave, Kochi - 152648",+91-8785519668,Sulekha,2026-04-28T09:01:12.926633
Neha's Dhaba,Restaurant,Chandigarh,"Plot 402, Main Area Colony, Chandigarh - 977007",+91-9793627436,Justdial,2026-02-18T23:01:12.926647
New Joshi HygieneX,Pest Control,Surat,"Plot 437, Main Area Lane, Surat - 528540",+91-8749190477,Justdial,2026-03-22T00:01:12.926660
Royal Legal Associates,Lawyer,Chennai,"Plot 862, T Nagar Street, Chennai - 592294",+91-9665746956,Google Maps,2026-04-30T20:01:12.926677
Royal Celebrations,Event Planner,Bhopal,"Plot 188, Central Street, Bhopal - 732702",+91-8880667255,Justdial,2026-03-21T20:01:12.926692
Anita Chauhan Design Studio,Interior Designer,Indore,"Plot 876, Station Road Nagar, Indore - 249927",+91-9081149086,TradeIndia,2026-04-01T01:01:12.926707
Royal Accounting Firm,CA/Accountant,Jaipur,"Plot 236, Vaishali Nagar Marg, Jaipur - 680686",+91-9492192459,Justdial,2026-04-29T18:01:12.926721
New Desai Bites,Restaurant,Nagpur,"Plot 498, Central Road, Nagpur - 730663",+91-8802090777,Sulekha,2026-02-19T21:01:12.926734
Royal Garage,Car Repair,Delhi,"Plot 679, Connaught Place Nagar, Delhi - 973383",+91-8840052938,Sulekha,2026-05-12T20:01:12.926747
Vikram Nair Gym & Spa,Gym,Delhi,"Plot 195, Karol Bagh Nagar, Delhi - 615941",+91-9775202491,IndiaMART,2026-02-27T06:01:12.926761
Rekha Nair Design Studio,Interior Designer,Noida,"Plot 953, Central Road, Noida - 319481",+91-8834974385,TradeIndia,2026-02-12T23:01:12.926775
Deepak Gupta Real Estate,Real Estate Agent,Noida,"Plot 352, Station Road Nagar, Noida - 683922",+91-9730047149,IndiaMART,2026-03-14T08:01:12.926789
New Mehta Health Center,Doctor,Nagpur,"Plot 845, Main Area Road, Nagpur - 639650",+91-9749444208,Google Maps,2026-02-20T12:01:12.926802
New Rao Photography,Photographer,Kochi,"Plot 594, Station Road Road, Kochi - 171591",+91-8877890733,IndiaMART,2026-05-09T21:01:12.926815
Arun's Academy,Tutor,Coimbatore,"Plot 571, Main Area Nagar, Coimbatore - 943400",+91-9006107943,IndiaMART,2026-04-20T12:01:12.926828
Sri Chauhan Interiors,Interior Designer,Vadodara,"Plot 426, Station Road Colony, Vadodara - 752726",+91-9836272028,Justdial,2026-02-12T23:01:12.926840
Reddy Gadget Fix,Electronics Repair,Chandigarh,"Plot 975, Station Road Colony, Chandigarh - 918158",+91-9052264614,Google Maps,2026-04-10T13:01:12.926853
Kavita Shah Logistics,Courier Service,Nagpur,"Plot 945, Station Road Road, Nagpur - 782117",+91-8739965656,Justdial,2026-05-05T17:01:12.926869
Rahul's Accounting Firm,CA/Accountant,Coimbatore,"Plot 671, Central Nagar, Coimbatore - 598859",+91-9869214904,TradeIndia,2026-04-28T17:01:12.926882
New Reddy Events,Event Planner,Chandigarh,"Plot 40, Station Road Lane, Chandigarh - 712960",+91-9765203442,Google Maps,2026-04-09T07:01:12.926897
Royal Auto Works,Car Repair,Noida,"Plot 116, Station Road Marg, Noida - 284087",+91-9349978008,TradeIndia,2026-03-05T18:01:12.926909
Arun Chauhan & Associates,CA/Accountant,Jaipur,"Plot 277, Vaishali Nagar Road, Jaipur - 838042",+91-9672090582,Google Maps,2026-04-04T16:01:12.926922
Sanjay Mehta Event Management,Event Planner,Pune,"Plot 500, Hinjewadi Marg, Pune - 438372",+91-9138908366,Justdial,2026-03-22T23:01:12.926935
Sri Patil Homes,Real Estate Agent,Bhopal,"Plot 120, Central Nagar, Bhopal - 414628",+91-9013882557,Google Maps,2026-02-19T19:01:12.926947
